Date,Open,High,Low,Close,Adj Close,Volume
2022-08-21,45.677773,47.448467,45.520359,46.878952,46.878952,69130698
2022-08-22,46.866852,47.252754,44.446766,47.249470,47.249470,84102511
2022-08-23,47.251759,48.734455,45.837662,48.538738,48.538738,105331417
2022-08-24,48.537094,50.479523,47.406052,49.273899,49.273899,108608415
2022-08-25,49.270771,50.115456,48.827320,49.247395,49.247395,96749150
2022-08-26,49.244358,49.244358,44.046959,44.251270,44.251270,115757114
2022-08-27,44.254684,45.257332,43.956352,45.171082,45.171082,82386722
2022-08-28,45.164612,45.941292,44.236374,44.239807,44.239807,76779867
2022-08-29,44.228970,47.513885,43.980736,47.471581,47.471581,89153906
2022-08-30,47.472038,48.150146,45.282093,45.643017,45.643017,77588397
2022-08-31,45.634293,46.331402,44.488998,44.616138,44.616138,75018421
2022-09-01,44.614346,44.821281,43.379780,44.741657,44.741657,69180948
2022-09-02,44.739033,46.353481,44.345390,45.698742,45.698742,65641762
2022-09-03,45.694626,46.806164,45.367722,46.721119,46.721119,66914192
2022-09-04,46.719975,47.573708,46.159653,47.562065,47.562065,57342220
2022-09-05,47.562717,48.351540,46.522114,47.596394,47.596394,62796196
2022-09-06,47.602722,48.757271,42.909286,42.916187,42.916187,77733425
2022-09-07,42.913307,45.575630,42.478790,45.063057,45.063057,66682330
2022-09-08,45.058681,46.424397,44.416935,46.291336,46.291336,70041527
2022-09-09,46.288387,49.409084,46.267323,48.968845,48.968845,89067673
2022-09-10,48.970673,50.057076,48.630814,48.838135,48.838135,92012137
2022-09-11,48.836052,48.998554,47.343819,48.310360,48.310360,90232466
2022-09-12,48.310532,49.778866,47.037617,47.122074,47.122074,121566977
2022-09-13,47.122559,48.067814,43.604851,44.597282,44.597282,122946350
2022-09-14,43.863331,45.727009,43.782406,45.612789,45.612789,100682199
2022-09-15,45.611683,45.650085,43.531334,43.855701,43.855701,111229238
2022-09-16,43.853577,44.401062,42.919987,43.735119,43.735119,73861138
2022-09-17,43.739933,44.710567,43.739933,44.591610,44.591610,64818157
2022-09-18,44.585983,44.586849,40.277748,40.291859,40.291859,83731519
2022-09-19,40.291615,40.981182,39.359856,40.847725,40.847725,79948681
2022-09-20,40.848564,41.460125,40.212788,40.704510,40.704510,68464682
2022-09-21,40.702110,42.574276,39.402733,39.931229,39.931229,87798975
2022-09-22,39.916344,42.085964,39.632538,41.946346,41.946346,72356203
2022-09-23,41.947468,42.815235,40.764133,42.117352,42.117352,81858281
2022-09-24,42.115826,42.667000,41.594479,41.675629,41.675629,61107503
2022-09-25,41.681580,42.330482,40.887371,41.210434,41.210434,59478757
2022-09-26,41.209244,41.716854,40.377026,41.635658,41.635658,74467403
2022-09-27,41.636719,43.638737,41.234619,41.634960,41.634960,74654583
2022-09-28,41.627216,41.806393,40.025772,41.296886,41.296886,69103866
